time,type,collection_id,priority
111950993019,2,277056121123,100
75587959500,2,276722222167,100
203674232481,2,277802279091,100
357007658831,2,279431628116,100
378141099788,2,279774878155,100
104131127156,2,276827198250,100
595802645641,2,281520936002,100
104681397751,2,276830008199,100
269959035170,2,278484688346,100
464506049300,2,280618672698,100
97656209083,2,276784525407,100
125444926686,2,277127008905,100
198769081214,2,277727338287,100
584690843973,2,281443269898,100
35392756399,2,276477041250,100
97595474965,2,276784471066,100
25384815429,2,276419597730,100
570697090926,2,281335685215,100
464377132861,2,280617569760,100
217649420833,2,278052761348,100
565020146808,2,281299212810,100
299812186757,2,279018366929,100
69045904184,2,276692338556,100
584507520302,2,281443147208,100
420938302770,2,280247876124,100
449733969418,2,280425088147,100
126368092709,2,277127878607,100
184359600553,2,277472871719,100
363787375139,2,279536205862,100
241396187020,2,278306862753,100
356520274946,2,279429170840,100
148492491550,2,277275812519,100
25066419443,2,276417435465,100
571251273238,3,281336019053,100
227119066626,3,278200087203,100
562885564714,3,281295191413,100
334903413236,3,279371105033,100
341982655369,3,279377724870,100
414119858665,3,280164088494,100
428204155828,3,280277272779,100
356526128205,3,279429190733,100
303536877454,3,279095906584,100
210764512177,3,277937650373,100
482948996299,3,280817166811,100
407338431723,3,280139949104,100
306172873303,3,279136748965,100
565143075947,3,281299303125,100
457248733223,3,280504373092,100
47123865222,3,276565938141,100
233715850689,3,278265778582,100
38691622712,3,276503374129,100
428563474000,3,280277481460,100
543520688996,3,281177057154,100
215782637236,3,278028310384,100
97552832460,3,276784420923,100
111952078414,3,277056121123,100
75608464266,3,276722222167,100
203678710582,3,277802279091,100
357010497592,3,279431628116,100
378141185853,3,279774878155,100
104148951859,3,276827198250,100
595803916902,3,281520936002,100
104704328458,3,276830008199,100
269960119503,3,278484688346,100
464506152016,3,280618672698,100
97684692015,3,276784525407,100
125467396717,3,277127008905,100
198809582562,3,277727338287,100
584692207339,3,281443269898,100
35393961532,3,276477041250,100
97617003188,3,276784471066,100
25384841522,3,276419597730,100
570698067056,3,281335685215,100
464378138789,3,280617569760,100
217650922399,3,278052761348,100
565021485627,3,281299212810,100
299816676582,3,279018366929,100
69047542363,3,276692338556,100
584508659179,3,281443147208,100
420939630102,3,280247876124,100
449735522030,3,280425088147,100
126387721180,3,277127878607,100
184360442023,3,277472871719,100
363788383566,3,279536205862,100
241397257754,3,278306862753,100
356521196054,3,279429170840,100
148511781705,3,277275812519,100
25067974833,3,276417435465,100
562963076681,5,281295191413,100
565201511266,5,281299303125,100
570867945727,5,281335685215,100
565086519370,5,281299212810,100
576310071414,7,281336019053,100
231068902417,7,278200087203,100
339725401582,7,279371105033,100
347349886591,7,279377724870,100
418947822178,7,280164088494,100
433295792948,7,280277272779,100
361554523435,7,279429190733,100
305425659755,7,279095906584,100
213090717059,7,277937650373,100
485078747141,7,280817166811,100
411910166529,7,280139949104,100
310855390171,7,279136748965,100
462068690165,7,280504373092,100
51781931719,7,276565938141,100
238329869398,7,278265778582,100
41439171876,7,276503374129,100
433584728211,7,280277481460,100
548822206787,7,281177057154,100
217487923681,7,278028310384,100
102392037896,7,276784420923,100
116429272712,7,277056121123,100
80911409786,7,276722222167,100
